N,P,K,temperature,humidity,ph,rainfall,label
69,52,39,77,66,6,1,Palay
66,55,39,66,64,6,0.14,Palay
77,39,37,65,97,7,0,Mais
88,44,36,66,59,5,0.7,Palay
71,38,36,74,89,7,0,Kamote
84,40,36,78,76,5,0.95,Stringbeans
74,38,42,70,79,6,0.41,Palay
74,39,37,65,93,7,0,Palay
78,51,41,67,61,7,0.4,Palay
68,44,37,72,63,5,0,Tomatoes
70,41,37,66,55,7,0,Potatoes
89,55,39,72,63,7,0.34,Palay
73,38,42,78,93,6,0.65,Palay
84,46,39,78,88,7,0.45,Palay
78,48,38,69,89,5,0.8,Palay
67,57,39,68,66,5,0.14,Palay
72,39,42,68,68,6,0.6,Palay
86,58,39,68,72,7,0.96,Palay
72,54,36,70,92,7,0,Mais
89,41,37,67,70,5,0,Mais
82,44,36,69,53,5,0,Mais
71,42,41,75,52,6,0,Palay
68,40,41,74,53,6,0,Palay
80,50,37,71,60,5,0,Palay
64,43,41,69,76,5,0,Palay
78,41,36,70,89,7,0,Palay
68,43,40,69,61,7,1.01,Palay
83,40,41,77,93,5,0.24,Palay
77,41,39,67,92,6,0.61,Palay
89,40,38,76,60,5,0.44,Palay
79,46,39,77,73,5,0.03,Palay
75,44,41,73,88,5,0.44,Palay
72,40,40,69,76,6,0.99,Palay
87,53,42,77,89,5,0.02,Palay
76,47,36,72,60,6,0.19,Palay
78,49,41,67,60,7,0.89,Palay
82,52,42,72,86,5,1.03,Palay
84,47,39,69,88,7,0,Mais
73,51,36,69,87,6,0,Mais
91,39,41,67,78,7,0,Mais
84,59,40,74,90,5,0,Palay
90,45,40,72,99,7,0.13,Palay
78,55,38,65,84,6,0,Kamote
66,50,38,68,61,5,0.34,Stringbeans
81,37,36,67,63,5,0.84,Palay
65,51,40,76,68,5,0.96,Palay
87,53,38,75,72,7,0.56,Palay
75,40,40,70,82,5,0.04,Palay
64,46,40,66,69,5,0.99,Palay
70,47,38,78,84,5,0.83,Palay
86,56,38,72,89,5,0.19,Palay
67,55,36,68,77,6,1.06,Palay
79,36,40,71,47,5,1.01,Mais
80,41,38,70,43,5,0.06,Mais
88,39,37,75,58,7,0.35,Mais
64,38,38,75,82,6,0.91,Palay
70,37,42,71,97,6,1,Palay
75,37,36,70,82,5,0,Kamote
