District_Name,State_Name,Crop_Year,Season,Crop,Area,Production
La Union,SAN GABRIEL,2020,WET,Palay,2000,700
La Union,SAN GABRIEL,2020,WET,Palay,7500,3581
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1654
La Union,SAN GABRIEL,2020,WET,Palay,10000,3423
La Union,SAN GABRIEL,2020,WET,Palay,1000,525
La Union,SAN GABRIEL,2020,DRY,Palay,10500,3429
La Union,SAN GABRIEL,2020,WET,Palay,1500,1927
La Union,SAN GABRIEL,2020,WET,Palay,2500,1654
La Union,SAN GABRIEL,2020,WET,Palay,2000,1125
La Union,SAN GABRIEL,2020,WET,Palay,7500,3611
La Union,SAN GABRIEL,2020,WET,Palay,2000,932
La Union,SAN GABRIEL,2020,WET,Palay,7500,3629
La Union,SAN GABRIEL,2020,WET,Palay,10000,3048
La Union,SAN GABRIEL,2020,WET,Palay,10000,3742
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1877
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1684
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1992
La Union,SAN GABRIEL,2020,DRY,Palay,10500,3570
La Union,SAN GABRIEL,2020,DRY,Palay,10500,3725
La Union,SAN GABRIEL,2020,DRY,Palay,10500,3068
La Union,SAN GABRIEL,2020,DRY,Palay,2000,882
La Union,SAN GABRIEL,2020,DRY,Palay,10500,3586
La Union,SAN GABRIEL,2020,WET,Palay,10500,3828
La Union,SAN GABRIEL,2021,WET,Palay,2500,1723
La Union,SAN GABRIEL,2021,WET,Palay,2000,1098
La Union,SAN GABRIEL,2021,WET,Palay,7500,3498
La Union,SAN GABRIEL,2021,WET,Palay,2000,728
La Union,SAN GABRIEL,2021,WET,Palay,7500,3475
La Union,SAN GABRIEL,2021,WET,Palay,7500,3786
La Union,SAN GABRIEL,2021,WET,Palay,2000,864
La Union,SAN GABRIEL,2021,WET,Palay,7500,3482
La Union,SAN GABRIEL,2021,WET,Palay,10000,3127
La Union,SAN GABRIEL,2021,WET,Palay,10000,3654
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1783
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1592
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1876
La Union,SAN GABRIEL,2021,DRY,Palay,10500,3459
La Union,SAN GABRIEL,2021,WET,Palay,10000,3657
La Union,SAN GABRIEL,2021,WET,Palay,1000,596
La Union,SAN GABRIEL,2021,WET,Palay,2000,722
La Union,SAN GABRIEL,2021,WET,Palay,7500,3382
La Union,SAN GABRIEL,2021,WET,Palay,7500,3646
La Union,SAN GABRIEL,2021,WET,Palay,2000,864
La Union,SAN GABRIEL,2021,WET,Palay,7500,3482
La Union,SAN GABRIEL,2021,WET,Palay,10000,3127
La Union,SAN GABRIEL,2021,WET,Palay,10000,3654
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1783
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1592
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1876
La Union,SAN GABRIEL,2021,DRY,Palay,10500,3395
La Union,SAN GABRIEL,2021,WET,Palay,10000,3681
La Union,SAN GABRIEL,2021,WET,Palay,1000,589
La Union,SAN GABRIEL,2021,WET,Palay,2000,732
La Union,SAN GABRIEL,2021,WET,Palay,7500,3622
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1732
La Union,SAN GABRIEL,2021,WET,Palay,10000,3444
La Union,SAN GABRIEL,2021,WET,Palay,1000,572
La Union,SAN GABRIEL,2021,DRY,Palay,10500,3725
La Union,SAN GABRIEL,2021,WET,Palay,1500,1894
La Union,SAN GABRIEL,2021,WET,Palay,2500,1578
La Union,SAN GABRIEL,2021,WET,Palay,2000,1182
La Union,SAN GABRIEL,2021,WET,Palay,7500,3458
La Union,SAN GABRIEL,2021,WET,Palay,2000,921
La Union,SAN GABRIEL,2021,WET,Palay,7500,3588
La Union,SAN GABRIEL,2021,WET,Palay,10000,2976
La Union,SAN GABRIEL,2021,WET,Palay,10000,3721
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1677
La Union,SAN GABRIEL,2021,WET,Palay,7500,3521
La Union,SAN GABRIEL,2021,WET,Palay,10000,3164
La Union,SAN GABRIEL,2021,WET,Palay,10000,3723
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1567
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1623
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1823
La Union,SAN GABRIEL,2021,DRY,Palay,10500,3523
La Union,SAN GABRIEL,2021,WET,Palay,10000,3672
La Union,SAN GABRIEL,2021,WET,Palay,1000,572
La Union,SAN GABRIEL,2021,WET,Palay,2000,782
La Union,SAN GABRIEL,2021,WET,Palay,7500,3762
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1825
La Union,SAN GABRIEL,2022,WET,Palay,10000,3236
La Union,SAN GABRIEL,2022,WET,Palay,1000,582
La Union,SAN GABRIEL,2022,DRY,Palay,10500,3812
La Union,SAN GABRIEL,2022,WET,Palay,1500,1785
La Union,SAN GABRIEL,2022,WET,Palay,2500,1671
La Union,SAN GABRIEL,2022,WET,Palay,2000,1253
La Union,SAN GABRIEL,2022,WET,Palay,7500,3475
La Union,SAN GABRIEL,2022,DRY,Mais,2500,1623
La Union,SAN GABRIEL,2022,DRY,Mais,2500,1245
La Union,SAN GABRIEL,2022,DRY,Mais,2500,1854
La Union,SAN GABRIEL,2022,DRY,Palay,10500,3576
La Union,SAN GABRIEL,2022,WET,Palay,10000,3631
La Union,SAN GABRIEL,2022,WET,Palay,1000,512
La Union,SAN GABRIEL,2022,WET,Palay,2000,753
La Union,SAN GABRIEL,2022,WET,Palay,7500,3527
La Union,SAN GABRIEL,2022,DRY,Mais,2500,1854
La Union,SAN GABRIEL,2022,WET,Palay,10000,3265
La Union,SAN GABRIEL,2022,WET,Palay,1000,426
La Union,SAN GABRIEL,2022,DRY,Palay,10500,3854
La Union,SAN GABRIEL,2022,WET,Palay,1500,1689
La Union,SAN GABRIEL,2022,WET,Palay,2500,1653
La Union,SAN GABRIEL,2022,WET,Palay,2000,1248
La Union,SAN GABRIEL,2022,DRY,Palay,4800,950
La Union,SAN GABRIEL,2022,WET,Palay,4800,684
La Union,SAN GABRIEL,2022,DRY,Palay,4800,968
La Union,SAN GABRIEL,2022,WET,Palay,4800,717
La Union,SAN GABRIEL,2022,DRY,Palay,4800,942
La Union,SAN GABRIEL,2022,WET,Palay,4800,695
La Union,SAN GABRIEL,2022,DRY,Palay,4800,938
La Union,SAN GABRIEL,2022,WET,Palay,4800,694
La Union,SAN GABRIEL,2022,WET,Palay,10000,3728
La Union,SAN GABRIEL,2022,WET,Palay,2500,1528
La Union,SAN GABRIEL,2022,WET,Palay,2500,1532
La Union,SAN GABRIEL,2022,DRY,Palay,4800,947
La Union,SAN GABRIEL,2022,WET,Palay,4800,672
La Union,SAN GABRIEL,2022,DRY,Palay,4800,973
La Union,SAN GABRIEL,2022,WET,Palay,4800,725
La Union,SAN GABRIEL,2022,DRY,Palay,4800,936
La Union,SAN GABRIEL,2022,WET,Palay,4800,718
La Union,SAN GABRIEL,2022,DRY,Palay,4800,947
La Union,SAN GABRIEL,2022,WET,Palay,4800,702
La Union,SAN GABRIEL,2019,DRY,Palay,4800,932
La Union,SAN GABRIEL,2019,WET,Palay,4800,623
La Union,SAN GABRIEL,2019,DRY,Palay,4800,925
La Union,SAN GABRIEL,2019,WET,Palay,4800,704
La Union,SAN GABRIEL,2019,DRY,Palay,10000,3811
La Union,SAN GABRIEL,2019,WET,Palay,2500,1573
La Union,SAN GABRIEL,2019,WET,Palay,2500,1633
La Union,SAN GABRIEL,2019,DRY,Palay,4800,921
La Union,SAN GABRIEL,2019,WET,Palay,4800,681
La Union,SAN GABRIEL,2019,DRY,Palay,4800,952
La Union,SAN GABRIEL,2019,WET,Palay,4800,743
La Union,SAN GABRIEL,2019,DRY,Palay,4800,975
La Union,SAN GABRIEL,2019,WET,Palay,4800,723
La Union,SAN GABRIEL,2019,DRY,Palay,4800,956
La Union,SAN GABRIEL,2019,WET,Palay,4800,731
La Union,SAN GABRIEL,2019,DRY,Palay,4800,942
La Union,SAN GABRIEL,2019,WET,Palay,4800,642
La Union,SAN GABRIEL,2019,DRY,Palay,4800,928
La Union,SAN GABRIEL,2019,WET,Palay,4800,678
La Union,SAN GABRIEL,2019,DRY,Palay,10000,3821
La Union,SAN GABRIEL,2019,WET,Palay,2500,1628
La Union,SAN GABRIEL,2019,WET,Palay,2500,1622
La Union,SAN GABRIEL,2019,DRY,Palay,4800,945
La Union,SAN GABRIEL,2019,WET,Palay,4800,671
La Union,SAN GABRIEL,2019,DRY,Palay,4800,973
La Union,SAN GABRIEL,2019,WET,Palay,4800,729
La Union,SAN GABRIEL,2019,DRY,Palay,4800,962
La Union,SAN GABRIEL,2019,WET,Palay,4800,764
La Union,SAN GABRIEL,2019,DRY,Palay,4800,972
La Union,SAN GABRIEL,2019,WET,Palay,4800,729
La Union,SAN GABRIEL,2019,WET,Palay,2000,694
La Union,SAN GABRIEL,2019,WET,Palay,7500,3752
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1631
La Union,SAN GABRIEL,2019,WET,Palay,10000,3523
La Union,SAN GABRIEL,2019,WET,Palay,1000,534
La Union,SAN GABRIEL,2019,DRY,Palay,10500,3562
La Union,SAN GABRIEL,2019,WET,Palay,1500,1974
La Union,SAN GABRIEL,2019,WET,Palay,2500,1725
La Union,SAN GABRIEL,2019,WET,Palay,2000,1078
La Union,SAN GABRIEL,2019,WET,Palay,7500,3629
La Union,SAN GABRIEL,2019,WET,Palay,2000,942
La Union,SAN GABRIEL,2019,WET,Palay,7500,3728
La Union,SAN GABRIEL,2019,WET,Palay,10000,3126
La Union,SAN GABRIEL,2019,WET,Palay,10000,3741
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1942
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1725
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1971
La Union,SAN GABRIEL,2019,DRY,Palay,10500,3672
La Union,SAN GABRIEL,2019,DRY,Palay,10500,3629
La Union,SAN GABRIEL,2019,DRY,Palay,10500,3124
La Union,SAN GABRIEL,2020,WET,Palay,1000,534
La Union,SAN GABRIEL,2020,DRY,Palay,10500,3567
La Union,SAN GABRIEL,2020,WET,Palay,1500,2014
