,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
0,La Union,SAN GABRIEL,2020,WET,Palay,2000,700
1,La Union,SAN GABRIEL,2020,WET,Palay,7500,3581
2,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1654
3,La Union,SAN GABRIEL,2020,WET,Palay,10000,3423
4,La Union,SAN GABRIEL,2020,WET,Palay,1000,525
5,La Union,SAN GABRIEL,2020,DRY,Palay,10500,3429
6,La Union,SAN GABRIEL,2020,WET,Palay,1500,1927
7,La Union,SAN GABRIEL,2020,WET,Palay,2500,1654
8,La Union,SAN GABRIEL,2020,WET,Palay,2000,1125
9,La Union,SAN GABRIEL,2020,WET,Palay,7500,3611
10,La Union,SAN GABRIEL,2020,WET,Palay,2000,932
11,La Union,SAN GABRIEL,2020,WET,Palay,7500,3629
12,La Union,SAN GABRIEL,2020,WET,Palay,10000,3048
13,La Union,SAN GABRIEL,2020,WET,Palay,10000,3742
14,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1877
15,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1684
16,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1992
17,La Union,SAN GABRIEL,2020,DRY,Palay,10500,3570
18,La Union,SAN GABRIEL,2020,DRY,Palay,10500,3725
19,La Union,SAN GABRIEL,2020,DRY,Palay,10500,3068
20,La Union,SAN GABRIEL,2020,DRY,Palay,2000,882
21,La Union,SAN GABRIEL,2020,DRY,Palay,10500,3586
22,La Union,SAN GABRIEL,2020,WET,Palay,10500,3828
23,La Union,SAN GABRIEL,2021,WET,Palay,2500,1723
24,La Union,SAN GABRIEL,2021,WET,Palay,2000,1098
25,La Union,SAN GABRIEL,2021,WET,Palay,7500,3498
26,La Union,SAN GABRIEL,2021,WET,Palay,2000,728
27,La Union,SAN GABRIEL,2021,WET,Palay,7500,3475
28,La Union,SAN GABRIEL,2021,WET,Palay,7500,3786
29,La Union,SAN GABRIEL,2021,WET,Palay,2000,864
30,La Union,SAN GABRIEL,2021,WET,Palay,7500,3482
31,La Union,SAN GABRIEL,2021,WET,Palay,10000,3127
32,La Union,SAN GABRIEL,2021,WET,Palay,10000,3654
33,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1783
34,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1592
35,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1876
36,La Union,SAN GABRIEL,2021,DRY,Palay,10500,3459
37,La Union,SAN GABRIEL,2021,WET,Palay,10000,3657
