,N,P,K,temperature,humidity,rainfall,label
0,69,52,39,25.0756354,84.34262707,285.2493645,Palay
1,66,55,39,26.35927159,81.04554836,298.4018471,Palay
2,77,39,37,24.52922681,87.32761241,257.0343554,Mais
3,88,44,36,20.77576147,89.71503316,248.7183228,Palay
4,71,38,36,22.30157427,83.24855855,209.9001977,Palay
5,84,40,36,21.44653958,85.5701901,200.834898,Palay
6,74,38,42,22.17931888,87.93598094,298.5601175,Palay
7,74,39,37,24.52783742,82.1193047,265.5355937,Palay
8,78,51,41,20.26707606,86.73346018,183.6793207,Palay
9,68,44,37,25.7354293,86.45147631,196.9560008,Palay
10,70,41,37,26.79533926,82.35916228,233.0453455,Palay
11,89,55,39,26.75754171,84.96089355,210.8142087,Palay
12,73,38,42,23.86330467,86.45193297,253.7202781,Palay
13,84,46,39,21.01944696,85.16906976,219.9048349,Palay
14,78,48,38,24.17298839,80.4513142,208.5810155,Mais
15,67,57,39,22.78133816,84.96771717,195.0948311,Mais
16,72,39,42,25.62980105,83.64274107,227.3637009,Mais
17,86,58,39,25.59704938,89.07866095,286.5083725,Palay
18,72,54,36,23.83067496,87.93724219,283.9338466,Palay
19,89,41,37,26.31355498,85.81675947,217.3788583,Palay
20,82,44,36,24.8972823,80.29868321,267.9761948,Palay
21,71,42,41,24.958779,86.404241,191.9535738,Palay
22,68,40,41,23.24113501,81.67085323,277.9626192,Palay
23,80,50,37,21.66628296,82.60629652,245.1511304,Palay
24,64,43,41,24.63544858,86.20681554,245.6626799,Palay
25,78,41,36,23.43121862,88.71782287,279.5451717,Palay
26,68,43,40,20.0454142,87.50436797,202.3838319,Palay
27,83,40,41,23.85724032,88.73100226,263.6372176,Palay
28,77,41,39,21.97199397,81.59200689,182.5616319,Palay
29,89,40,38,26.22916897,84.61431076,198.6730942,Palay
30,79,46,39,23.44676801,88.4393979,243.5120414,Palay
31,75,44,41,25.65553461,86.13316408,263.1103304,Palay
32,72,40,40,24.44345477,86.99495766,269.5039162,Palay
33,87,53,42,20.2801937,84.80084105,204.8001847,Mais
34,76,47,36,21.7238313,89.1148059,260.8875056,Mais
35,78,49,41,20.41447029,88.07505524,295.6094492,Mais
36,82,52,42,25.75528612,87.16679147,192.3197536,Palay
37,84,47,39,20.61521424,83.14796296,257.4914906,Palay
38,73,51,36,21.84106875,88.50229102,278.0791793,Palay
39,91,39,41,20.08369642,89.30428305,280.4044392,Palay
40,84,59,40,24.45802087,82.76020821,185.9461429,Palay
41,90,45,40,21.14347496,85.99127934,194.5766559,Palay
42,78,55,38,25.78720567,89.9939693,200.9133156,Palay
43,66,50,38,23.64124821,82.9116472,182.9043504,Palay
44,81,37,36,23.43191632,89.99615558,195.3574542,Palay
45,65,51,40,24.97669518,87.4512669,223.3671883,Palay
46,87,53,38,22.72791041,81.94268594,186.7536773,Mais
47,75,40,40,24.87300744,85.60472562,220.1156708,Mais
48,64,46,40,21.32376327,84.8593608,231.7364957,Mais
49,70,47,38,26.29465461,89.80650642,242.3170629,Palay
50,86,56,38,22.2286982,85.44815232,182.6549356,Palay
51,67,55,36,26.73072391,86.89934108,233.7034975,Palay
52,79,36,40,24.88921174,85.91625451,230.2242223,Palay
53,80,41,38,26.88444878,81.13903037,290.6793783,Palay
54,88,39,37,22.67846116,89.92908171,241.2013513,Mais
55,64,38,38,26.08867875,84.28187572,218.9163567,Palay
56,70,37,42,25.42977518,85.85384444,248.2256491,Palay
57,75,37,36,26.40323239,87.59810657,256.9964761,Palay
58,71,36,39,26.04371967,87.60890009,194.2651719,Palay
59,66,42,39,25.2827223,82.89166381,295.9248796,Palay
60,83,41,40,22.08576562,87.17649,287.5766935,Palay
61,83,45,41,23.28617173,87.09979549,183.6222657,Palay
62,71,43,41,25.48591986,88.48312598,188.413665,Palay
63,71,47,37,23.67575393,89.89593328,87.75953857,Palay
64,78,56,40,20.82477109,86.94206817,102.2662445,Palay
65,90,54,42,26.92995077,83.8001509,66.71995467,Palay
66,83,50,39,23.83509503,80.14487166,60.65171481,Mais
67,77,53,39,26.52872817,80.98004661,65.43835393,Palay
68,77,49,41,26.46428311,89.4875022,102.0861694,Palay
69,84,55,39,22.69657794,88.48587386,105.4654703,Palay
70,82,56,42,22.68319059,82.67639542,78.06639649,Mais
71,67,41,41,21.53346343,83.97586797,65.27798457,Mais
72,72,55,39,21.40865769,81.97952224,109.2162279,Mais
73,67,49,40,26.54348085,88.00989267,94.29712821,Palay
74,72,44,38,23.35905428,86.49366929,74.05474936,Palay
75,91,44,38,22.61359953,86.12194568,63.87020584,Palay
76,76,45,37,26.10018422,87.11497805,94.76189431,Palay
77,91,47,38,23.55882094,86.16063492,72.12375573,Palay
78,90,53,39,19.97215954,84.8845732,63.72358154,Mais
79,77,57,40,18.47891261,80.35005927,104.1626147,Palay
80,72,38,42,21.77689322,80.28038146,76.68456006,Palay
81,78,59,40,25.6217169,80.03499648,65.49730729,Palay
82,87,55,41,25.19192419,83.6869203,84.23613484,Palay
83,83,53,38,20.41683147,88.66663953,79.74078719,Palay
84,64,52,39,24.92162194,85.42058715,88.07753741,Palay
85,66,58,37,23.31689124,81.8009244,80.97573281,Palay
86,72,36,39,24.84016732,83.78911515,79.7532896,Mais
87,67,39,36,22.27526694,86.5543196,74.51490791,Mais
88,79,50,41,18.87751445,88.9570454,96.46380213,Mais
89,69,51,40,25.19008683,89.1886954,102.8301942,Palay
90,89,54,37,18.25405352,83.63802195,102.4852929,Palay
91,71,51,41,24.6129118,87.91332682,70.43473609,Palay
92,73,55,36,25.1420613,80.45744422,108.8303762,Palay
93,88,40,38,23.09348056,89.12760359,65.88951188,Palay
94,90,59,37,18.05033737,83.52706038,90.988051,Mais
95,74,41,38,24.9321581,83.69659318,64.40866039,Palay
96,91,41,36,31.24021696,86.69133979,63.03843397,Palay
97,84,52,36,28.98039357,83.48991368,87.9298085,Palay
98,70,37,36,27.32198928,82.00274423,107.4931917,Palay
99,84,58,38,21.47607807,80.31964408,60.95197486,Palay
100,65,57,37,18.31910448,82.3207629,109.7515385,Palay
101,89,38,41,36.97794384,80.15836264,91.76337172,Palay
102,87,45,40,24.80467592,81.60487287,94.26249353,Palay
103,70,39,37,19.3479443,83.37011772,71.07562236,Palay
104,68,54,37,28.88302142,82.63941394,76.72860067,Palay
105,83,44,36,19.54314136,82.89408619,69.21803098,Palay
106,68,39,41,24.7741949,83.5352163,101.7004306,Palay
107,69,36,40,18.33124824,83.03322691,106.6213157,Palay
108,91,35,40,19.14729038,81.41753846,66.29390357,Palay
109,70,54,42,28.23416057,81.45061596,91.26056654,Palay
110,66,40,42,30.11812084,80.88684822,109.024141,Palay
111,64,37,40,33.4126864,82.05687182,99.57981207,Palay
112,67,53,36,24.18553163,80.66385045,71.3195307,Palay
113,69,36,40,26.88630675,80.30025587,78.34604471,Palay
114,67,37,36,31.33170829,82.7883708,88.45361858,Palay
115,76,43,41,33.30711818,80.41817957,62.50351892,Palay
116,69,57,39,23.45379018,80.1923008,76.41312437,Palay
117,75,50,38,34.53823889,83.58760316,107.3198135,Palay
118,84,56,42,19.50112224,80.47476396,100.7689246,Palay
119,79,52,41,28.76794904,83.11713476,107.2681929,Palay
120,67,50,39,30.97758716,80.97384195,101.5952794,Palay
121,70,52,40,18.39759147,82.67839517,80.72515943,Palay
122,80,48,40,35.09357419,81.33265073,83.73280082,Palay
123,88,47,39,34.93174223,80.52389148,89.9622014,Palay
124,78,55,40,29.50523036,84.04403589,88.10234397,Palay
125,68,48,36,34.51934775,80.54498576,64.77791424,Palay
126,71,42,39,28.43430726,84.49774397,73.33636055,Palay
127,64,56,41,18.41645629,80.64416466,83.21030571,Palay
128,84,57,40,31.07508973,84.94375962,103.651438,Palay
129,71,57,41,20.89342749,80.33127223,84.22969177,Palay
130,89,48,36,30.90607799,82.73685569,96.59195302,Palay
131,82,53,39,27.9348279,81.63895217,67.96704792,Palay
132,64,42,39,35.95176642,83.88266234,83.20711308,Palay
133,83,38,41,19.54317155,82.1480873,87.85092352,Palay
134,85,39,37,19.63736208,81.17734011,95.71388473,Palay
135,67,42,42,31.2192752,83.15250801,67.61013737,Palay
136,68,40,36,33.50876355,82.95221726,97.59081274,Palay
